Pickup Date,Pickup Day,Pickup Time,Pickup Location,Vehicle,Rating
01-07-2014,Tuesday,12:00:00 AM," 100 Elgar Pl Co-Op City, BX",First Class,3.770571663
01-07-2014,Tuesday,12:00:00 AM,"55 QUAKER RIDGE RD New Rochelle ,NY.",Skyline,4.015903192
01-07-2014,Tuesday,12:00:00 AM,55 WATER ST NYC,First Class,4.266450726
01-07-2014,Tuesday,12:00:00 AM,55 WATER ST NYC,American,4.495460177
01-07-2014,Tuesday,12:00:00 AM,55 WATER ST NYC,Skyline,3.779657868
01-07-2014,Tuesday,12:00:00 AM,"550 Atlantic Ave Downtown Bklyn, BK",First Class,4.428019445
01-07-2014,Tuesday,12:00:00 AM,557 Broadway Nyc,First Class,4.676028344
01-07-2014,Tuesday,12:00:00 AM,MAMAJUANA 237 Dyckman St NYC,Diplo,4.733341841
01-07-2014,Tuesday,12:00:00 AM,minivan 580 W 161 St NYC,Diplo,4.775825692
01-07-2014,Tuesday,12:00:00 AM,"parqueo ne Fulton Ave Tremont, BX",Diplo,4.645777585
01-07-2014,Tuesday,12:00:00 AM,por el parqueo 150   W 225 St NYC,Skyline,4.65132753
01-07-2014,Tuesday,12:00:00 AM,stop & shop supermarket 5716 Broadway Bronx,Skyline,3.855335417
01-07-2014,Tuesday,12:00:00 AM,tao restaurant 251 Dyckman St NYC,Skyline,4.119848657
01-07-2014,Tuesday,12:01:00 AM,"  E 136th St Mott Haven, BX",Skyline,3.86784578
01-07-2014,Tuesday,12:01:00 AM," 100 E Mosholu Pkwy S Fordham, BX",Skyline,3.766135146
01-07-2014,Tuesday,12:01:00 AM,"la gomera nw E 149th St Cortlandt, BX",First Class,3.923974056
01-07-2014,Tuesday,12:01:00 AM,por el frente 158-18 Riverside Dr NYC,First Class,4.044947173
01-07-2014,Tuesday,12:01:00 AM,"riverdale city grill 3543 Riverdale Ave Kingsbridge, BX",Prestige,4.965697192
01-07-2014,Tuesday,12:01:00 AM,SALON 503 West 181 St NYC,American,3.543427172
01-07-2014,Tuesday,12:01:00 AM,TWIN DONUTS SW Broadway NYC,Skyline,4.434218217
01-07-2014,Tuesday,12:02:00 AM,  157 brook corner job  Bronx,First Class,3.453876478
01-07-2014,Tuesday,12:02:00 AM," 1 Marble Hill Ave Kingsbridge, BX",First Class,3.460899958
01-07-2014,Tuesday,12:02:00 AM," 100 E Mosholu Pkwy S Fordham, BX",Diplo,3.560142991
01-07-2014,Tuesday,12:02:00 AM," 1000 Baychester Ave Co-Op City, BX",Skyline,3.774686508
01-07-2014,Tuesday,12:02:00 AM," 1000 Duncan St Baychester, BX",Skyline,4.8883852
01-07-2014,Tuesday,12:02:00 AM," 1001 E 163rd St Foxhurst, BX",Prestige,3.418021507
01-07-2014,Tuesday,12:02:00 AM," 1010 E 178th St Westfarms, BX",Skyline,3.293836162
01-07-2014,Tuesday,12:02:00 AM," 1032 Ogden Ave High Bridge, BX",Prestige,4.972703454
01-07-2014,Tuesday,12:02:00 AM,"BASE 170 W Fordham Rd Jerome, BX",First Class,4.927792824
01-07-2014,Tuesday,12:02:00 AM,"BASE 170 W Fordham Rd Jerome, BX",First Class,4.58934689
01-07-2014,Tuesday,12:02:00 AM,"PARKEO NW Jerome Ave High Bridge, BX",Prestige,4.430955875
01-07-2014,Tuesday,12:02:00 AM,"plazza 420 E Fordham Rd Fordham, BX",Prestige,4.197604338
01-07-2014,Tuesday,12:02:00 AM,precinto sw Amsterdam Ave NYC,Skyline,3.593948041
01-07-2014,Tuesday,12:02:00 AM,RESTAURANT EL VALLE 3340 Broadway NYC,Skyline,3.909550264
01-07-2014,Tuesday,12:02:00 AM,SALSA CON FUEGO 2297  Cedar Ave Bronx,First Class,3.408233149
01-07-2014,Tuesday,12:02:00 AM,"taller 1700 Jerome Ave Morris Heights, BX",First Class,3.060148655
01-07-2014,Tuesday,12:03:00 AM, 1 BUENAS NOCHES Y BENDICIONES A TODOS! Bronx,Skyline,3.214757619
01-07-2014,Tuesday,12:03:00 AM," 1 Gabriel Dr Baychester, BX",Prestige,4.611534938
01-07-2014,Tuesday,12:03:00 AM,"BASE --- 170 W Fordham Rd Jerome, BX",First Class,4.854196313
01-07-2014,Tuesday,12:03:00 AM,"BASE 170 W Fordham Rd Jerome, BX",First Class,4.445923665
01-07-2014,Tuesday,12:03:00 AM,"esquina ne   Davidson Ave Jerome, BX",Skyline,4.698038055
01-07-2014,Tuesday,12:03:00 AM,"MINI VAN 3204 Ely Ave Baychester, BX",Prestige,4.697216691
01-07-2014,Tuesday,12:03:00 AM,tao restaurant 251 Dyckman St NYC,Diplo,3.570190135
01-07-2014,Tuesday,12:03:00 AM,tao restaurant 251 Dyckman St NYC,Skyline,3.604871464
01-07-2014,Tuesday,12:04:00 AM," 1 Marble Hill Ave Kingsbridge, BX",First Class,4.734963527
01-07-2014,Tuesday,12:04:00 AM, 1 test test Bronx,Prestige,4.959709729
01-07-2014,Tuesday,12:04:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Skyline,3.851764178
01-07-2014,Tuesday,12:04:00 AM,"la gomera nw E 149th St Cortlandt, BX",Skyline,4.369417187
01-07-2014,Tuesday,12:04:00 AM,PATHMARK 410 W 207 St NYC,Skyline,3.707644951
01-07-2014,Tuesday,12:04:00 AM,stop & shop supermarket 5716 Broadway Bronx,Skyline,4.20456292
01-07-2014,Tuesday,12:04:00 AM,stop & shop supermarket 5716 Broadway Bronx,Skyline,4.306019042
01-07-2014,Tuesday,12:04:00 AM,tette 154 Post Ave NYC,Skyline,3.378356956
01-07-2014,Tuesday,12:05:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Prestige,3.21524812
01-07-2014,Tuesday,12:05:00 AM,"driveway 1075 University Ave High Bridge, BX",First Class,4.95962617
01-07-2014,Tuesday,12:05:00 AM,"emergencia 3424 Kossuth Ave Williamsbridge, BX",First Class,3.021093753
01-07-2014,Tuesday,12:05:00 AM,"parrilla 2501 Webster Ave Fordham, BX",First Class,3.190892183
01-07-2014,Tuesday,12:05:00 AM,"rite aid pharmacy nw Broadway Kingsbridge, BX",Carmel,3.931963152
01-07-2014,Tuesday,12:05:00 AM,tete lounge 154 Post Ave NYC,Skyline,4.600861212
01-07-2014,Tuesday,12:05:00 AM,tete lounge 154 Post Ave NYC,American,4.643504099
01-07-2014,Tuesday,12:06:00 AM," 1042 Rev James A Polite Ave Foxhurst, BX",Prestige,3.711076309
01-07-2014,Tuesday,12:06:00 AM,"BASE --- 170 W Fordham Rd Jerome, BX",Skyline,3.912138399
01-07-2014,Tuesday,12:06:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Skyline,4.282747009
01-07-2014,Tuesday,12:06:00 AM,"HOTEL 2990 Boston Rd Baychester, BX",Skyline,3.645379975
01-07-2014,Tuesday,12:06:00 AM,LGA DL ,Prestige,3.510285323
01-07-2014,Tuesday,12:06:00 AM,"rite aid nw W 238th St Kingsbridge, BX",Skyline,3.722783278
01-07-2014,Tuesday,12:06:00 AM,t mobile nw Broadway NYC,Skyline,4.661180984
01-07-2014,Tuesday,12:06:00 AM,town car 204 Sherman Ave NYC,Diplo,4.959635458
01-07-2014,Tuesday,12:06:00 AM,tsao restaurant  251 Dyckman St NYC,Skyline,4.101898442
01-07-2014,Tuesday,12:07:00 AM," 1007 Simpson St Foxhurst, BX",First Class,4.534700146
01-07-2014,Tuesday,12:07:00 AM," 1041 Prospect Ave Foxhurst, BX",First Class,3.250443674
01-07-2014,Tuesday,12:07:00 AM,barberia sw Marion Ave Bronx,Skyline,4.426412638
01-07-2014,Tuesday,12:07:00 AM,"BASE 170 W Fordham Rd Jerome, BX",First Class,4.493794696
01-07-2014,Tuesday,12:07:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Skyline,4.395818945
01-07-2014,Tuesday,12:07:00 AM,HARLEM HOSPITAL 506 Lenox Ave NYC,Skyline,4.429711046
01-07-2014,Tuesday,12:07:00 AM,RITE AID nw Broadway NYC,Diplo,3.649102207
01-07-2014,Tuesday,12:07:00 AM,salida 212st 4996 Broadway NYC,Diplo,3.93570936
01-07-2014,Tuesday,12:07:00 AM,"taz tavern sw Broadway Kingsbridge, BX",First Class,3.18491501
01-07-2014,Tuesday,12:08:00 AM," 10 E 198th St Jerome, BX",First Class,3.823943874
01-07-2014,Tuesday,12:08:00 AM," 1010 Ave Saint John South Bronx, BX",First Class,4.227957026
01-07-2014,Tuesday,12:08:00 AM,"6 FORDHAM HILLFHA # 6 2400 Sedgwick Ave Jerome, BX",First Class,4.056845502
01-07-2014,Tuesday,12:08:00 AM,"BARBERIA GREÒA 1805 University Ave Morris Heights, BX",First Class,3.386262602
01-07-2014,Tuesday,12:08:00 AM,"BARBERIA SN Davidson Ave Jerome, BX",First Class,4.841720483
01-07-2014,Tuesday,12:09:00 AM," 1 Bruckner Blvd Mott Haven, BX",Diplo,3.117442088
01-07-2014,Tuesday,12:09:00 AM," 1032 Ogden Ave High Bridge, BX",First Class,3.212750524
01-07-2014,Tuesday,12:09:00 AM," 1033 Boston Rd Morrisania, BX",First Class,4.665968922
01-07-2014,Tuesday,12:09:00 AM,"7 FORDHAM HILL OVAL 2400 Sedgwick Ave Jerome, BX",Prestige,3.278272415
01-07-2014,Tuesday,12:09:00 AM,"BAJANDO-CREDIT CARD NW Grand Concourse Fordham, BX",American,3.158935977
01-07-2014,Tuesday,12:09:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Diplo,3.608742697
01-07-2014,Tuesday,12:09:00 AM,"dalla bbq 2100 Bartow Ave Co-Op City, BX",Diplo,3.525276093
01-07-2014,Tuesday,12:09:00 AM,"DELIVERY 678 E 221st St Williamsbridge, BX",Prestige,3.876942405
01-07-2014,Tuesday,12:09:00 AM,"MOTEL 1440 Sheridan Expy Foxhurst, BX",First Class,3.369597226
01-07-2014,Tuesday,12:09:00 AM,por el frente 150 W 225 St NYC,First Class,3.332632585
01-07-2014,Tuesday,12:09:00 AM,tao restaurant 251 Dyckman St NYC,First Class,4.659654076
01-07-2014,Tuesday,12:10:00 AM,550 1 Ave NYC,First Class,4.051266189
01-07-2014,Tuesday,12:10:00 AM,"6 FORDHAM HILL OVAL 2400 Sedgwick Ave Jerome, BX",Prestige,3.788630927
01-07-2014,Tuesday,12:10:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Prestige,3.091888888
01-07-2014,Tuesday,12:10:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Diplo,3.593347624
01-07-2014,Tuesday,12:10:00 AM,"motel 4225 Webster Ave Woodlawn, BX",First Class,4.428082315
01-07-2014,Tuesday,12:10:00 AM,salida 64th st 101 West End Ave NYC,First Class,4.493980132
01-07-2014,Tuesday,12:10:00 AM,salida por Staff st 1781 Riverside Dr NYC,American,4.050026829
01-07-2014,Tuesday,12:10:00 AM,"sillouhette lounge  nw Broadway Kingsbridge, BX",First Class,4.636127211
01-07-2014,Tuesday,12:10:00 AM,stop & shop supermarket 5716 Broadway Bronx,First Class,4.170975304
01-07-2014,Tuesday,12:10:00 AM,stop & shop supermarket 5716 Broadway Bronx,Prestige,4.792488574
01-07-2014,Tuesday,12:11:00 AM," 100 E Mosholu Pkwy S Fordham, BX",First Class,3.315921627
01-07-2014,Tuesday,12:11:00 AM,"BASE 170 W Fordham Rd Jerome, BX",First Class,4.893457264
01-07-2014,Tuesday,12:11:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Prestige,4.841653279
01-07-2014,Tuesday,12:11:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Skyline,3.257127895
01-07-2014,Tuesday,12:11:00 AM,DUNKIN DONUTS NW Broadway NYC,First Class,4.8279641
01-07-2014,Tuesday,12:11:00 AM,POR VERMILYEA  560 Isham St NYC,First Class,3.808310899
01-07-2014,Tuesday,12:11:00 AM,salon  4996 Broadway NYC,Skyline,3.912275395
01-07-2014,Tuesday,12:11:00 AM,stop & shop supermarket 5716 Broadway Bronx,First Class,4.841892382
01-07-2014,Tuesday,12:11:00 AM,tao restaurant 251 Dyckman St NYC,Skyline,3.734686451
01-07-2014,Tuesday,12:11:00 AM,"tin marin bar  3708 Riverdale Ave Kingsbridge, BX",Carmel,3.369536222
01-07-2014,Tuesday,12:12:00 AM,"  Brook Ave South Bronx, BX",Diplo,4.992717532
01-07-2014,Tuesday,12:12:00 AM," 100 Elgar Pl Co-Op City, BX",Diplo,3.501028984
01-07-2014,Tuesday,12:12:00 AM," 1041 University Ave High Bridge, BX",Carmel,4.528178156
01-07-2014,Tuesday,12:12:00 AM,"551.358.5890 1404 Gillespie Ave Morris Park, BX",First Class,3.760901291
01-07-2014,Tuesday,12:12:00 AM,"allen pavilion -MAIN nw Broadway Morris Heights, BX",Prestige,4.123423796
01-07-2014,Tuesday,12:12:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Carmel,3.445545284
01-07-2014,Tuesday,12:12:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Prestige,3.489621341
01-07-2014,Tuesday,12:12:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Diplo,3.382090228
01-07-2014,Tuesday,12:12:00 AM,"shop rite / cvs pharmacy  nw Riverdale Ave YONKERS, NY.",American,4.159875682
01-07-2014,Tuesday,12:12:00 AM,stop & shop supermarket 5716 Broadway Bronx,First Class,3.620708137
01-07-2014,Tuesday,12:12:00 AM,stop & shop supermarket 5716 Broadway Bronx,Prestige,3.75025236
01-07-2014,Tuesday,12:13:00 AM,"6 FORDHAM HILL OVAL 2400 Sedgwick Ave Jerome, BX",Prestige,3.380326325
01-07-2014,Tuesday,12:13:00 AM,"BARBERIA GREÒA 1805 University Ave Morris Heights, BX",Diplo,3.68714592
01-07-2014,Tuesday,12:13:00 AM,"barberia grena 23 W 184th St Jerome, BX",First Class,3.651508666
01-07-2014,Tuesday,12:13:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Carmel,4.997551948
01-07-2014,Tuesday,12:13:00 AM,"BASE 170 W Fordham Rd Jerome, BX",Carmel,4.258163695
01-07-2014,Tuesday,12:13:00 AM,"esquina nw E Gun Hill Rd Baychester, BX",First Class,3.01109305
01-07-2014,Tuesday,12:13:00 AM,HILLTON RESTAURAN SW 3 Ave NYC,Diplo,4.823577299
01-07-2014,Tuesday,12:13:00 AM,NJ vaaa 159-14 8 Ave NYC,Prestige,4.646235785
01-07-2014,Tuesday,12:13:00 AM,por academy st 4841 Broadway NYC,American,3.176712892
01-07-2014,Tuesday,12:14:00 AM,"  Melrose Ave Cortlandt, BX",Prestige,4.242382883
01-07-2014,Tuesday,12:14:00 AM,"BASE 170 W Fordham Rd Jerome, BX",First Class,3.846700828
01-07-2014,Tuesday,12:14:00 AM,"jet set motel 4565 3rd Ave Fordham, BX",Skyline,3.928059738
01-07-2014,Tuesday,12:14:00 AM,por el parqueo 150   W 225 St NYC,Carmel,3.891161611
01-07-2014,Tuesday,12:15:00 AM,"  3rd Ave Cortlandt, BX",First Class,3.836635454
01-07-2014,Tuesday,12:15:00 AM," 10 W Gun Hill Rd Williamsbridge, BX",First Class,4.381055781
